area,area_code,area_name,year,sort,category,MYE
5. Former Local Government Districts (LGD1992),95UU,Moyle,2007/2008,15,Total Outflows,598
5. Former Local Government Districts (LGD1992),95UU,Moyle,2007/2008,16,Total Net,61
5. Former Local Government Districts (LGD1992),95UU,Moyle,2007/2008,17,Other changes,30
5. Former Local Government Districts (LGD1992),95UU,Moyle,2007/2008,18,Migration and other changes,91
5. Former Local Government Districts (LGD1992),95UU,Moyle,2007/2008,19,End population,16852
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,1,Starting population,95264
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,2,Births,1575
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,3,Deaths,696
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,4,Natural Change,879
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,5,Internal Inflows,1399
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,6,Internal Outflows,1509
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,7,Internal Net,-110
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,8,United Kingdom Inflows,520
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,9,United Kingdom Outflows,422
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,10,United Kingdom Net,98
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,11,Rest of world Inflows,1407
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,12,Rest of world Outflows,502
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,13,Rest of world Net,905
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,14,Total Inflows,3326
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,15,Total Outflows,2433
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,16,Total Net,893
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,17,Other changes,-167
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,18,Migration and other changes,726
5. Former Local Government Districts (LGD1992),95VV,Newry and Mourne,2007/2008,19,End population,96869
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,1,Starting population,82753
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,2,Births,1150
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,3,Deaths,707
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,4,Natural Change,443
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,5,Internal Inflows,2652
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,6,Internal Outflows,2484
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,7,Internal Net,168
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,8,United Kingdom Inflows,428
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,9,United Kingdom Outflows,438
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,10,United Kingdom Net,-10
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,11,Rest of world Inflows,653
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,12,Rest of world Outflows,737
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,13,Rest of world Net,-84
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,14,Total Inflows,3733
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,15,Total Outflows,3659
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,16,Total Net,74
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,17,Other changes,136
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,18,Migration and other changes,210
5. Former Local Government Districts (LGD1992),95WW,Newtownabbey,2007/2008,19,End population,83406
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,1,Starting population,78153
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,2,Births,937
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,3,Deaths,803
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,4,Natural Change,134
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,5,Internal Inflows,1799
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,6,Internal Outflows,1708
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,7,Internal Net,91
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,8,United Kingdom Inflows,980
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,9,United Kingdom Outflows,937
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,10,United Kingdom Net,43
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,11,Rest of world Inflows,477
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,12,Rest of world Outflows,533
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,13,Rest of world Net,-56
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,14,Total Inflows,3256
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,15,Total Outflows,3178
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,16,Total Net,78
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,17,Other changes,-199
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,18,Migration and other changes,-121
5. Former Local Government Districts (LGD1992),95XX,North Down,2007/2008,19,End population,78166
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,1,Starting population,49986
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,2,Births,692
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,3,Deaths,328
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,4,Natural Change,364
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,5,Internal Inflows,1080
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,6,Internal Outflows,1152
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,7,Internal Net,-72
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,8,United Kingdom Inflows,310
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,9,United Kingdom Outflows,267
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,10,United Kingdom Net,43
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,11,Rest of world Inflows,600
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,12,Rest of world Outflows,262
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,13,Rest of world Net,338
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,14,Total Inflows,1990
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,15,Total Outflows,1681
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,16,Total Net,309
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,17,Other changes,-136
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,18,Migration and other changes,173
5. Former Local Government Districts (LGD1992),95YY,Omagh,2007/2008,19,End population,50523
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,1,Starting population,39209
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,2,Births,536
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,3,Deaths,323
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,4,Natural Change,213
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,5,Internal Inflows,672
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,6,Internal Outflows,722
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,7,Internal Net,-50
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,8,United Kingdom Inflows,226
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,9,United Kingdom Outflows,208
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,10,United Kingdom Net,18
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,11,Rest of world Inflows,230
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,12,Rest of world Outflows,164
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,13,Rest of world Net,66
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,14,Total Inflows,1128
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,15,Total Outflows,1094
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,16,Total Net,34
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,17,Other changes,-6
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,18,Migration and other changes,28
5. Former Local Government Districts (LGD1992),95ZZ,Strabane,2007/2008,19,End population,39450
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,1,Starting population,52716
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,2,Births,832
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,3,Deaths,372
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,4,Natural Change,460
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,5,Internal Inflows,1432
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,6,Internal Outflows,1210
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,7,Internal Net,222
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,8,United Kingdom Inflows,255
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,9,United Kingdom Outflows,278
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,10,United Kingdom Net,-23
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,11,Rest of world Inflows,387
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,12,Rest of world Outflows,333
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,13,Rest of world Net,54
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,14,Total Inflows,2074
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,15,Total Outflows,1821
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,16,Total Net,253
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,17,Other changes,-211
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,18,Migration and other changes,42
5. Former Local Government Districts (LGD1992),95AA,Antrim,2008/2009,19,End population,53218
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,1,Starting population,77179
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,2,Births,911
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,3,Deaths,611
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,4,Natural Change,300
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,5,Internal Inflows,1755
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,6,Internal Outflows,1594
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,7,Internal Net,161
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,8,United Kingdom Inflows,425
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,9,United Kingdom Outflows,344
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,10,United Kingdom Net,81
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,11,Rest of world Inflows,193
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,12,Rest of world Outflows,185
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,13,Rest of world Net,8
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,14,Total Inflows,2373
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,15,Total Outflows,2123
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,16,Total Net,250
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,17,Other changes,-31
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,18,Migration and other changes,219
5. Former Local Government Districts (LGD1992),95BB,Ards,2008/2009,19,End population,77698
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,1,Starting population,58124
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,2,Births,876
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,3,Deaths,443
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,4,Natural Change,433
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,5,Internal Inflows,1441
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,6,Internal Outflows,1466
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,7,Internal Net,-25
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,8,United Kingdom Inflows,259
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,9,United Kingdom Outflows,266
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,10,United Kingdom Net,-7
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,11,Rest of world Inflows,534
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,12,Rest of world Outflows,314
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,13,Rest of world Net,220
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,14,Total Inflows,2234
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,15,Total Outflows,2046
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,16,Total Net,188
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,17,Other changes,-107
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,18,Migration and other changes,81
5. Former Local Government Districts (LGD1992),95CC,Armagh,2008/2009,19,End population,58638
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,1,Starting population,62900
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,2,Births,787
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,3,Deaths,506
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,4,Natural Change,281
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,5,Internal Inflows,1242
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,6,Internal Outflows,1318
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,7,Internal Net,-76
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,8,United Kingdom Inflows,278
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,9,United Kingdom Outflows,295
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,10,United Kingdom Net,-17
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,11,Rest of world Inflows,634
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,12,Rest of world Outflows,356
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,13,Rest of world Net,278
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,14,Total Inflows,2154
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,15,Total Outflows,1969
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,16,Total Net,185
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,17,Other changes,11
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,18,Migration and other changes,196
5. Former Local Government Districts (LGD1992),95DD,Ballymena,2008/2009,19,End population,63377
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,1,Starting population,30399
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,2,Births,407
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,3,Deaths,241
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,4,Natural Change,166
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,5,Internal Inflows,975
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,6,Internal Outflows,812
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,7,Internal Net,163
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,8,United Kingdom Inflows,153
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,9,United Kingdom Outflows,172
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,10,United Kingdom Net,-19
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,11,Rest of world Inflows,75
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,12,Rest of world Outflows,46
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,13,Rest of world Net,29
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,14,Total Inflows,1203
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,15,Total Outflows,1030
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,16,Total Net,173
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,17,Other changes,68
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,18,Migration and other changes,241
5. Former Local Government Districts (LGD1992),95EE,Ballymoney,2008/2009,19,End population,30806
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,1,Starting population,46884
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,2,Births,723
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,3,Deaths,347
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,4,Natural Change,376
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,5,Internal Inflows,1354
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,6,Internal Outflows,1190
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,7,Internal Net,164
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,8,United Kingdom Inflows,239
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,9,United Kingdom Outflows,230
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,10,United Kingdom Net,9
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,11,Rest of world Inflows,160
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,12,Rest of world Outflows,151
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,13,Rest of world Net,9
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,14,Total Inflows,1753
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,15,Total Outflows,1571
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,16,Total Net,182
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,17,Other changes,17
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,18,Migration and other changes,199
5. Former Local Government Districts (LGD1992),95FF,Banbridge,2008/2009,19,End population,47459
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,1,Starting population,277681
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,2,Births,3840
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,3,Deaths,2795
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,4,Natural Change,1045
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,5,Internal Inflows,10822
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,6,Internal Outflows,12271
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,7,Internal Net,-1449
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,8,United Kingdom Inflows,2336
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,9,United Kingdom Outflows,1930
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,10,United Kingdom Net,406
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,11,Rest of world Inflows,4104
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,12,Rest of world Outflows,3339
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,13,Rest of world Net,765
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,14,Total Inflows,17262
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,15,Total Outflows,17540
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,16,Total Net,-278
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,17,Other changes,549
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,18,Migration and other changes,271
5. Former Local Government Districts (LGD1992),95GG,Belfast,2008/2009,19,End population,278997
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,1,Starting population,39345
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,2,Births,476
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,3,Deaths,316
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,4,Natural Change,160
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,5,Internal Inflows,889
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,6,Internal Outflows,977
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,7,Internal Net,-88
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,8,United Kingdom Inflows,218
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,9,United Kingdom Outflows,229
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,10,United Kingdom Net,-11
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,11,Rest of world Inflows,146
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,12,Rest of world Outflows,161
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,13,Rest of world Net,-15
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,14,Total Inflows,1253
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,15,Total Outflows,1367
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,16,Total Net,-114
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,17,Other changes,-120
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,18,Migration and other changes,-234
5. Former Local Government Districts (LGD1992),95HH,Carrickfergus,2008/2009,19,End population,39271
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,1,Starting population,66382
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,2,Births,869
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,3,Deaths,641
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,4,Natural Change,228
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,5,Internal Inflows,2609
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,6,Internal Outflows,2361
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,7,Internal Net,248
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,8,United Kingdom Inflows,315
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,9,United Kingdom Outflows,359
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,10,United Kingdom Net,-44
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,11,Rest of world Inflows,293
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,12,Rest of world Outflows,254
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,13,Rest of world Net,39
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,14,Total Inflows,3217
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,15,Total Outflows,2974
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,16,Total Net,243
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,17,Other changes,-11
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,18,Migration and other changes,232
5. Former Local Government Districts (LGD1992),95II,Castlereagh,2008/2009,19,End population,66842
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,1,Starting population,58390
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,2,Births,675
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,3,Deaths,490
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,4,Natural Change,185
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,5,Internal Inflows,2269
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,6,Internal Outflows,2264
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,7,Internal Net,5
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,8,United Kingdom Inflows,409
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,9,United Kingdom Outflows,390
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,10,United Kingdom Net,19
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,11,Rest of world Inflows,428
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,12,Rest of world Outflows,567
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,13,Rest of world Net,-139
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,14,Total Inflows,3106
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,15,Total Outflows,3221
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,16,Total Net,-115
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,17,Other changes,139
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,18,Migration and other changes,24
5. Former Local Government Districts (LGD1992),95JJ,Coleraine,2008/2009,19,End population,58599
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,1,Starting population,35852
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,2,Births,555
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,3,Deaths,273
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,4,Natural Change,282
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,5,Internal Inflows,886
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,6,Internal Outflows,857
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,7,Internal Net,29
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,8,United Kingdom Inflows,132
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,9,United Kingdom Outflows,132
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,10,United Kingdom Net,0
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,11,Rest of world Inflows,258
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,12,Rest of world Outflows,204
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,13,Rest of world Net,54
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,14,Total Inflows,1276
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,15,Total Outflows,1193
5. Former Local Government Districts (LGD1992),95KK,Cookstown,2008/2009,16,Total Net,83
